"id_auto";"SANDRE";"auteur_apa";"cd_apa"
123244;"8948";"REF_OMNIDIA";"NLEI"
123246;"8960";"REF_OMNIDIA";"NLTT"
123248;"8962";"REF_OMNIDIA";"NZLR"
123251;"8964";"REF_OMNIDIA";"NLRD"
123253;"8965";"REF_OMNIDIA";"NZMA"
123260;"8972";"REF_OMNIDIA";"NMTH"
123262;"8973";"REF_OMNIDIA";"NIMO"
123265;"8976";"REF_OMNIDIA";"NNGL"
123267;"8977";"REF_OMNIDIA";"NNOR"
123269;"8978";"REF_OMNIDIA";"NZOB"
123271;"8979";"REF_OMNIDIA";"NOSD"
123275;"8986";"REF_OMNIDIA";"NOVA"
